#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;
1;J0002+6216;cwp+17;J0002+6216;cwp+17;32.5;6.0e-01;bst+23;-13.7;6.0e-01;bst+23;0.6;5.0e-01;bst+23;55806;cwp+17;117.327;-0.074;0.74238;8.3e-05;62.26928;2.8e-05;0.1153635682680;1.4e-12;cwp+17;5.96703E-15;7.0e-20;cwp+17;218.6;6.0e-01;wcp+18;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.022;0;wu18;NAN;0;*;6.357;6.357;ymw17;-0.008;5.648;11.418;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_J000257.6+621609[wcp+18];*;FermiBlind;
2;J0006+1834;cnt96;J0006+1834;cnt96;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;108.172;-42.985;1.5200;8.3e-04;18.5831;1.1e-03;0.693748;0;dmo+24;2.097E-15;1.2e-17;cn95;11.41;0;dmo+24;61.3;3.0e+00;dmo+24;112.1;0;dmo+24;NAN;0;*;0.2;0;cn95;NAN;0;*;NAN;0;*;0.860;0.860;ymw17;-0.586;0.598;8.696;NAN;*;ar4,ar327,fast_gpps;
3;J0007+7303;aaa+09c;J0007+7303;aaa+09c;NAN;0;*;NAN;0;*;NAN;0;*;54952.00;*;119.660;10.463;1.7571;8.3e-04;73.0521;2.2e-04;0.3158731909;3.0e-10;awd+12;3.6039E-13;5.0e-17;awd+12;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.400;NAN;*;0.254;1.196;9.181;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J0007.0+7303[cdm+10],SNR:CTA1[hgc+04];*;FermiBlind;
4;J0011+08;dsm+16;J0011+08;dsm+16;NAN;0;*;NAN;0;*;NAN;0;*;57022.00;*;106.228;-53.407;2.89;1.3e-01;8.17;1.3e-01;2.55287;0;dsm+16;NAN;0;*;24.9;0;whx+23;1.8;7.0e-01;whx+23;7.4;7.0e-01;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;5.399;5.399;ymw17;-4.335;3.090;9.399;NAN;*;ar327,fast_gpps;
5;J0012+5431;dcm+23;J0012+5431;dcm+23;NAN;0;*;NAN;0;*;NAN;0;*;59128;dcm+23;117.231;-7.911;3.0971;4.2e-04;54.528;2.5e-03;3.02530070997;1.9e-10;dcm+23;1.28e-16;0;dcm+23;131.3;7.0e-01;dcm+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;5.427;5.427;ymw17;-0.747;4.780;10.960;NAN;*;chime;
6;B0011+47;dth78;J0014+4746;dth78;19.3;1.8e+00;bfg+03;-19.7;1.5e+00;bfg+03;NAN;0;*;49664.0;hlk+04;116.497;-14.631;3.57396;1.7e-04;47.77594;8.3e-05;1.240699038946;1.1e-11;hlk+04;5.6446E-16;1.4e-19;hlk+04;30.405;1.3e-02;bkk+16;88.7;0;lylg95;142.5;0;lylg95;2.5E-7;6.0e-08;kl07;14;2.0e+00;lylg95;3.0;1.0e+00;lylg95;NAN;0;*;1.776;1.776;ymw17;-0.449;1.538;9.267;NAN;*;gb1,gb2,gb3,lotaas;
7;J0021-0909;clh+20;J0021-0909;clh+20;NAN;0;*;NAN;0;*;NAN;0;*;58388.00;*;100.291;-70.726;5.46446;1.2e-04;-9.1663;3.1e-04;2.31413082909;1.7e-10;clh+20;1.039E-15;1.7e-17;clh+20;25.2;1.0e+00;clh+20;23.8;0;clh+20;42.7;0;clh+20;NAN;0;*;NAN;0;*;0.134;1.1e-02;clh+20;NAN;0;*;25.000;25.000;ymw17;-23.599;8.119;9.974;NAN;*;fast_crafts;
8;B0021-72C;mld+90;J0024-7204C;mld+90;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.923;-44.892;5.9598108;4.2e-07;-72.07541800;1.1e-07;0.00575677999551635;1.4e-16;frk+17;-4.98503E-20;2.0e-24;frk+17;24.5909;3.0e-04;apr+23;0.664;0;zhm+19;1.18;0;zhm+19;NAN;0;*;1.53;0;rlm+95;0.520;1.0e-02;zhm+19;0.230;1.0e-02;zhm+19;4.520;2.593;ymw17;-3.190;-2.593;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];*;pksgc;
9;B0021-72D;mlr+91;J0024-7204D;mlr+91;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.881;-44.893;6.0578372;2.5e-07;-72.07884789;5.6e-08;0.00535757328486573;9.0e-17;frk+17;-3.4220E-21;9.0e-25;frk+17;24.7412;3.0e-04;apr+23;0.303;0;zhm+19;0.476;0;zhm+19;NAN;0;*;0.95;0;rlm+95;0.350;1.0e-02;zhm+19;0.200;1.0e-02;zhm+19;4.520;2.630;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];*;pksgc;
10;B0021-72F;mlr+91;J0024-7204F;mlr+91;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.899;-44.892;6.0160645;4.2e-07;-72.07856064;5.6e-08;0.00262357935251262;4.0e-17;frk+17;6.45029E-20;7.0e-25;frk+17;24.3841;3.0e-04;apr+23;0.5;0;mlr+91;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.544;ymw17;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];*;pksgc;
